<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20221013;100000;161.6700000;162.4500000;160.6100000;161.2900000;3506470
GAZP;60;20221013;110000;161.2900000;161.5000000;160.6000000;161.4300000;2536230
GAZP;60;20221013;120000;161.4000000;161.4900000;160.3600000;160.9500000;2186120
GAZP;60;20221013;130000;160.9500000;161.4300000;160.9400000;161.2000000;791020
GAZP;60;20221013;140000;161.2000000;161.3200000;160.7200000;160.8100000;789120
GAZP;60;20221013;150000;160.8900000;161.1500000;159.4800000;160.0800000;3708070
GAZP;60;20221013;160000;160.0800000;161.5000000;159.8300000;160.4500000;2209550
GAZP;60;20221013;170000;160.4500000;160.6900000;159.9200000;160.2400000;1020920
GAZP;60;20221013;180000;160.2400000;161.3800000;160.2200000;161.0000000;1787330
GAZP;60;20221013;190000;161.0700000;161.4900000;160.9600000;161.2100000;510720
GAZP;60;20221013;200000;161.2100000;161.2800000;160.9800000;161.1500000;192030
GAZP;60;20221013;210000;161.1500000;161.1500000;160.8200000;160.9500000;126030
GAZP;60;20221013;220000;160.9600000;161.0000000;160.5500000;160.5700000;215830
GAZP;60;20221013;230000;160.5700000;161.0000000;160.5100000;160.8400000;245070
GAZP;60;20221014;100000;161.0200000;161.1600000;160.1300000;160.4000000;1673310
GAZP;60;20221014;110000;160.4200000;160.4900000;159.1600000;159.8000000;1809090
GAZP;60;20221014;120000;159.8300000;160.0000000;159.5000000;159.8000000;1055070
GAZP;60;20221014;130000;159.8000000;160.0000000;159.6200000;159.6900000;639610
GAZP;60;20221014;140000;159.6500000;159.6900000;158.7400000;159.1100000;2040430
GAZP;60;20221014;150000;159.1600000;159.5000000;158.6400000;159.0700000;1339840
GAZP;60;20221014;160000;159.0500000;160.4000000;159.0500000;159.5600000;3033180
GAZP;60;20221014;170000;159.4800000;159.9700000;159.1800000;159.7100000;1081670
GAZP;60;20221014;180000;159.7600000;159.8000000;158.9500000;159.3800000;1420860
GAZP;60;20221014;190000;159.3900000;159.7500000;159.2300000;159.6000000;348220
GAZP;60;20221014;200000;159.6000000;159.6500000;159.3100000;159.5200000;214130
GAZP;60;20221014;210000;159.5500000;159.7900000;159.4000000;159.6900000;212800
GAZP;60;20221014;220000;159.6300000;159.7600000;159.3100000;159.4800000;263960
GAZP;60;20221014;230000;159.4900000;159.6600000;159.3900000;159.6000000;239080
GAZP;60;20221017;100000;159.9500000;162.2200000;159.6000000;161.4900000;6241970
GAZP;60;20221017;110000;161.4900000;161.8000000;161.0000000;161.3600000;2341090
GAZP;60;20221017;120000;161.3600000;161.8000000;160.8000000;161.3500000;1964170
GAZP;60;20221017;130000;161.3900000;162.8700000;161.2800000;162.8700000;3085560
GAZP;60;20221017;140000;162.8300000;163.8000000;162.5300000;162.8800000;5857530
GAZP;60;20221017;150000;162.8500000;163.3700000;162.5600000;162.6600000;964120
GAZP;60;20221017;160000;162.6600000;163.1900000;162.5500000;163.0100000;1200770
GAZP;60;20221017;170000;163.0100000;163.1600000;162.0300000;162.4000000;1614750
GAZP;60;20221017;180000;162.4100000;162.5800000;162.0500000;162.5000000;1212330
GAZP;60;20221017;190000;162.5000000;162.6600000;161.5200000;162.3100000;931360
GAZP;60;20221017;200000;162.3100000;162.5000000;162.2500000;162.4000000;302760
GAZP;60;20221017;210000;162.4000000;162.8200000;162.3000000;162.7000000;341750
GAZP;60;20221017;220000;162.7200000;162.8100000;162.5000000;162.7900000;250630
GAZP;60;20221017;230000;162.7800000;163.3000000;162.7800000;163.2400000;480920
GAZP;60;20221018;100000;163.9600000;164.6400000;162.3500000;162.7500000;4254980
GAZP;60;20221018;110000;162.7400000;162.8900000;161.8000000;162.8600000;1898840
GAZP;60;20221018;120000;162.8900000;163.8500000;162.3100000;163.5600000;1888660
GAZP;60;20221018;130000;163.5500000;163.8500000;163.1500000;163.5900000;1056970
GAZP;60;20221018;140000;163.5900000;163.5900000;162.5900000;163.0600000;1093430
GAZP;60;20221018;150000;163.0300000;163.5000000;162.6600000;163.1000000;892900
GAZP;60;20221018;160000;163.1800000;163.2900000;162.7200000;163.0600000;938970
GAZP;60;20221018;170000;163.0700000;163.2500000;162.6000000;163.1000000;1066910
GAZP;60;20221018;180000;163.0700000;163.2000000;162.9000000;163.0000000;581490
GAZP;60;20221018;190000;163.0000000;163.1200000;162.4200000;162.8000000;576840
GAZP;60;20221018;200000;162.7800000;163.1200000;162.2200000;162.4700000;669350
